,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Age upon Outcome,Breed,Color,month,year,sex
29,A760697,Star,10/26/2017 3:22:00 PM,10/23/2007,Transfer,Partner,Dog,10 years,Yorkshire Terrier Mix,Brown/Black,Oct,2017,Intact Male
30,A767231,Millie,02/25/2018 5:19:00 PM,02/25/2017,Return to Owner,,Dog,1 year,Jack Russell Terrier/Chihuahua Shorthair,White/Tan,Feb,2018,Spayed Female
31,A758536,,09/23/2017 11:09:00 AM,03/18/2017,Transfer,Snr,Cat,6 months,Domestic Shorthair Mix,Brown Tabby,Sep,2017,Intact Female
32,A754682,Big Girl,07/23/2017 11:58:00 AM,07/22/2009,Return to Owner,,Dog,8 years,Great Pyrenees Mix,White,Jul,2017,Spayed Female
33,A801106,,08/16/2019 2:05:00 PM,05/06/2019,Adoption,,Cat,3 months,Domestic Shorthair,Orange Tabby,Aug,2019,Neutered Male
34,A766700,,02/15/2018 8:59:00 AM,02/15/2017,Euthanasia,Rabies Risk,Other,1 year,Bat Mix,Brown,Feb,2018,
35,A812473,Theodore Nubbins,03/05/2020 4:15:00 PM,01/26/2010,Adoption,Foster,Dog,10 years,Chihuahua Shorthair,Brown,Mar,2020,Neutered Male
36,A740079,Terry,12/26/2016 1:45:00 PM,12/10/2013,Return to Owner,,Dog,3 years,Australian Cattle Dog Mix,Black/White,Dec,2016,Neutered Male
37,A757919,*Tofu,10/05/2017 3:36:00 PM,09/08/2015,Adoption,,Dog,2 years,Beagle Mix,Brown/White,Oct,2017,Spayed Female
38,A789298,*Mr Wrinkles,04/23/2019 11:59:00 AM,02/15/2019,Adoption,Foster,Dog,2 months,Labrador Retriever Mix,Brown/White,Apr,2019,Neutered Male
39,A773866,*Nitro,08/23/2018 6:05:00 PM,06/06/2016,Adoption,,Dog,2 years,Labrador Retriever/Staffordshire,Black/White,Aug,2018,Neutered Male
40,A765701,,01/25/2018 9:39:00 AM,01/25/2017,Euthanasia,Rabies Risk,Other,1 year,Bat Mix,Brown,Jan,2018,
41,A699884,,04/03/2015 4:16:00 PM,04/03/2013,Euthanasia,Suffering,Cat,2 years,Domestic Shorthair Mix,Gray,Apr,2015,
42,A725530,King,06/09/2016 2:50:00 PM,10/30/2015,Adoption,,Dog,7 months,Pit Bull Mix,Brown Brindle/White,Jun,2016,Neutered Male
43,A722378,Canine,03/31/2016 7:08:00 PM,03/15/2010,Return to Owner,,Dog,6 years,German Shepherd Mix,Brown/Black,Mar,2016,Neutered Male
44,A852822,*Dreamsicle,03/21/2022 1:38:00 PM,03/08/2020,Adoption,,Cat,2 years,Domestic Shorthair,Orange Tabby,Mar,2022,Neutered Male
45,A707743,,07/18/2015 9:00:00 AM,04/17/2015,Transfer,SCRP,Cat,3 months,Domestic Shorthair Mix,Black/White,Jul,2015,Intact Male
46,A681449,Buster,07/02/2014 7:01:00 PM,06/16/2010,Return to Owner,,Dog,4 years,Dogo Argentino Mix,White/Brown,Jul,2014,Neutered Male
47,A738919,Milo,11/27/2016 5:35:00 PM,09/23/2016,Adoption,,Dog,2 months,Black Mouth Cur Mix,Brown/Black,Nov,2016,Neutered Male
48,A730464,,07/05/2016 12:47:00 PM,07/05/2015,Euthanasia,Rabies Risk,Other,1 year,Bat,Black/Brown,Jul,2016,
49,A851472,A851472,02/17/2022 12:46:00 PM,09/13/2020,Transfer,Partner,Dog,1 year,Cairn Terrier Mix,Tan/White,Feb,2022,Intact Male
50,A805930,*Rachel,11/08/2019 6:37:00 PM,09/11/2019,Adoption,Foster,Dog,1 month,Border Collie Mix,Chocolate/White,Nov,2019,Spayed Female
51,A672423,Valentine,02/14/2014 11:44:00 AM,02/10/2002,Transfer,Partner,Dog,12 years,Collie Rough Mix,Red,Feb,2014,Spayed Female
52,A665383,Indica,10/30/2013 4:23:00 PM,06/19/2013,Adoption,,Dog,4 months,German Shepherd Mix,Black/Tan,Oct,2013,Spayed Female
53,A806497,*Moo,12/17/2019 5:59:00 PM,06/02/2019,Adoption,,Other,6 months,Polish,White/White,Dec,2019,Spayed Female
54,A754899,Puppy,07/29/2017 5:57:00 PM,07/26/2012,Adoption,,Dog,5 years,German Shepherd Mix,Brown/Black,Jul,2017,Spayed Female
55,A746498,Zeus,05/03/2017 7:25:00 PM,04/04/2016,Adoption,,Dog,1 year,Rat Terrier/Cardigan Welsh Corgi,Black/White,May,2017,Neutered Male
56,A813785,Snout,02/26/2020 7:45:00 PM,02/18/2019,Rto-Adopt,,Dog,1 year,Doberman Pinsch,Black/Brown,Feb,2020,Neutered Male
57,A810161,Lizzie,12/19/2019 3:54:00 PM,10/15/2019,Adoption,,Dog,2 months,Australian Cattle Dog,Blue Tick/Black,Dec,2019,Spayed Female
58,A791163,,03/24/2019 8:22:00 AM,02/22/2019,Died,In Kennel,Cat,4 weeks,Domestic Shorthair Mix,Black/White,Mar,2019,
59,A777234,Tyson,01/02/2019 12:00:00 AM,11/25/2017,Transfer,Partner,Dog,1 year,Pit Bull Mix,Blue/White,Jan,2019,Neutered Male
60,A684009,Big Boy,07/19/2014 6:32:00 PM,07/18/2012,Return to Owner,,Dog,2 years,American Staffordshire Terrier Mix,Brown Brindle/White,Jul,2014,Neutered Male
61,A870443,Heidi,12/15/2022 3:43:00 PM,10/31/2010,Adoption,,Dog,12 years,Jack Russell Terrier/Chihuahua Shorthair,White/Black,Dec,2022,Spayed Female
62,A839936,A839936,08/02/2021 5:57:00 PM,05/29/2021,Adoption,,Dog,2 months,Labrador Retriever,Black/White,Aug,2021,Neutered Male
63,A757815,,09/07/2017 11:00:00 AM,09/07/2015,Euthanasia,Rabies Risk,Other,2 years,Raccoon,Gray/Black,Sep,2017,
64,A792258,Vesper,04/10/2019 8:53:00 PM,09/08/2016,Adoption,,Cat,2 years,Domestic Shorthair Mix,Tortie,Apr,2019,Spayed Female
65,A802723,*Linguine,09/20/2019 6:27:00 PM,07/09/2019,Adoption,Foster,Dog,2 months,Miniature Poodle Mix,Tan,Sep,2019,Spayed Female
66,A705205,*Dell,06/20/2015 4:25:00 PM,03/30/2015,Adoption,Offsite,Cat,2 months,Domestic Shorthair Mix,White/Blue Tabby,Jun,2015,Neutered Male
67,A689228,Louie,12/05/2014 3:55:00 PM,06/01/2014,Adoption,,Dog,6 months,Dachshund/Chihuahua Shorthair,Sable/Tan,Dec,2014,Neutered Male
68,A851434,Taco Bell,02/13/2022 1:15:00 PM,02/12/2010,Transfer,Partner,Dog,12 years,Chihuahua Shorthair,Fawn/Tan,Feb,2022,Neutered Male
69,A855554,Petey,04/22/2022 4:03:00 PM,08/19/2020,Return to Owner,,Dog,1 year,Bloodhound Mix,Brown/Black,Apr,2022,Neutered Male
70,A688837,*Sterling,10/13/2014 6:14:00 PM,09/24/2013,Adoption,,Dog,1 year,Chihuahua Shorthair Mix,Tan/White,Oct,2014,Neutered Male
71,A634392,Junior,03/24/2018 3:56:00 PM,08/11/2009,Return to Owner,,Dog,8 years,Standard Schnauzer/Miniature Poodle,White,Mar,2018,Neutered Male
72,A736717,Max,10/21/2016 2:45:00 PM,10/16/2013,Return to Owner,,Dog,3 years,Pug Mix,Brown Brindle,Oct,2016,Neutered Male
73,A766886,Lola,02/26/2018 5:53:00 PM,02/18/2017,Adoption,,Dog,1 year,Labrador Retriever Mix,Brown/Brown,Feb,2018,Spayed Female
74,A817863,*Beef,06/04/2020 2:45:00 PM,05/27/2018,Adoption,,Dog,2 years,American Bulldog,Brown Brindle/White,Jun,2020,Neutered Male
75,A767796,*Koko,06/20/2019 2:18:00 PM,12/06/2017,Transfer,Partner,Dog,1 year,American Pit Bull Terrier Mix,Brown/White,Jun,2019,Spayed Female
76,A777606,Bobo,08/07/2018 5:25:00 PM,07/31/2011,Adoption,,Dog,7 years,Chihuahua Shorthair Mix,Tricolor,Aug,2018,Neutered Male
77,A805948,Blue,10/04/2019 11:25:00 AM,10/04/2017,Return to Owner,,Dog,2 years,Siberian Husky,Black/Gray,Oct,2019,Intact Male
78,A702919,,05/21/2015 1:32:00 PM,04/04/2015,Transfer,Partner,Cat,1 month,Domestic Shorthair Mix,Blue,May,2015,Intact Male
79,A696409,*Hans,02/09/2015 6:46:00 PM,11/19/2014,Adoption,,Cat,2 months,Domestic Shorthair Mix,Black,Feb,2015,Neutered Male
80,A688758,,09/23/2014 1:21:00 PM,09/13/2014,Transfer,Partner,Cat,1 weeks,Domestic Shorthair Mix,Black/White,Sep,2014,Intact Male
81,A795325,,05/21/2019 5:10:00 PM,03/19/2019,Adoption,,Dog,2 months,Labrador Retriever,Black,May,2019,Spayed Female
82,A778589,,09/26/2018 10:04:00 AM,07/02/2018,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Cream Tabby,Sep,2018,Neutered Male
83,A734055,,09/01/2016 8:05:00 AM,08/31/2015,Euthanasia,Rabies Risk,Other,1 year,Bat Mix,Brown,Sep,2016,
84,A709257,,08/07/2015 8:35:00 AM,08/06/2014,Euthanasia,Rabies Risk,Other,1 year,Bat Mix,Black,Aug,2015,
85,A781976,*Fancy,10/16/2018 2:25:00 PM,10/08/2017,Transfer,Partner,Dog,1 year,German Shepherd Mix,White,Oct,2018,Intact Female
86,A751447,Bowser,06/16/2017 6:29:00 PM,06/08/2014,Adoption,,Dog,3 years,Beagle Mix,Brown/White,Jun,2017,Neutered Male
87,A643424,Patches,10/30/2015 5:23:00 PM,12/09/2009,Return to Owner,,Cat,5 years,Domestic Shorthair Mix,Black/White,Oct,2015,Neutered Male
88,A791702,Cooper,04/04/2019 4:13:00 PM,01/20/2019,Adoption,,Dog,2 months,Labrador Retriever Mix,Brown/White,Apr,2019,Neutered Male
89,A727851,,05/26/2016 6:09:00 PM,05/26/2014,Euthanasia,Rabies Risk,Other,2 years,Bat Mix,Brown/Black,May,2016,
90,A847063,Ella,11/29/2021 4:55:00 PM,11/24/2019,Adoption,,Dog,2 years,Chihuahua Shorthair,White/Black,Nov,2021,Spayed Female
91,A748126,,05/15/2017 3:40:00 PM,04/29/2016,Transfer,Partner,Cat,1 year,Domestic Shorthair Mix,Brown Tabby,May,2017,Neutered Male
92,A859541,A859541,06/20/2022 8:39:00 PM,06/08/2022,Died,In Kennel,Dog,1 weeks,German Shepherd Mix,Black/Brown,Jun,2022,Intact Female
93,A664941,Tequila,10/12/2013 6:14:00 PM,10/11/2009,Return to Owner,,Dog,4 years,Pit Bull Mix,Red/White,Oct,2013,Spayed Female
94,A657197,Gecko,10/09/2013 1:15:00 PM,05/12/2013,Adoption,,Cat,4 months,Domestic Shorthair Mix,Brown Tabby,Oct,2013,Neutered Male
95,A801948,Boie,07/09/2021 1:24:00 PM,02/12/2019,Adoption,,Dog,2 years,Australian Kelpie Mix,Brown Brindle/White,Jul,2021,Neutered Male
96,A809230,*Moo,11/24/2019 4:36:00 PM,11/21/2015,Adoption,,Dog,4 years,Siberian Husky,Gray/White,Nov,2019,Neutered Male
97,A783412,*Yams,12/16/2018 12:45:00 PM,10/30/2008,Adoption,,Cat,10 years,Domestic Shorthair Mix,Black,Dec,2018,Neutered Male
98,A686459,*Lovey,09/21/2014 5:39:00 PM,07/15/2014,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Tortie,Sep,2014,Spayed Female
99,A742736,Astro,01/31/2017 5:02:00 PM,05/01/2016,Adoption,,Dog,9 months,Yorkshire Terrier/Miniature Poodle,Brown/Gray,Jan,2017,Neutered Male
100,A727627,Cesar,05/26/2016 5:13:00 PM,05/23/2015,Return to Owner,,Dog,1 year,Pit Bull Mix,Brown Brindle/White,May,2016,Neutered Male
101,A790321,Prince,03/10/2019 5:37:00 PM,03/10/2010,Return to Owner,,Dog,9 years,Miniature Schnauzer Mix,Black,Mar,2019,Intact Male
102,A679096,Copper,12/22/2015 11:50:00 AM,05/16/2007,Adoption,Foster,Dog,8 years,Miniature Pinscher Mix,Red,Dec,2015,Neutered Male
103,A799580,*Roger Rabbit,08/19/2019 7:09:00 PM,05/10/2019,Adoption,,Cat,3 months,Domestic Shorthair,Blue Tabby/White,Aug,2019,Neutered Male
104,A833513,*Lemmy,05/13/2021 1:15:00 PM,05/01/2011,Transfer,Partner,Cat,10 years,Domestic Shorthair,Brown Tabby,May,2021,Neutered Male
105,A716376,,12/17/2015 11:33:00 AM,10/18/2015,Adoption,Foster,Dog,1 month,Boxer Mix,Red/White,Dec,2015,Spayed Female
106,A671125,,01/20/2014 6:32:00 PM,11/03/2013,Adoption,,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,Jan,2014,Neutered Male
107,A755735,Baby,08/15/2017 11:46:00 AM,08/08/2013,Return to Owner,,Dog,4 years,Australian Cattle Dog,Blue Merle,Aug,2017,Spayed Female
108,A697910,Boris,06/23/2015 1:38:00 PM,03/03/2013,Return to Owner,,Cat,2 years,Domestic Medium Hair Mix,Orange Tabby/White,Jun,2015,Neutered Male
109,A687056,,08/31/2014 9:00:00 AM,03/30/2014,Transfer,SCRP,Cat,5 months,Domestic Shorthair Mix,Orange Tabby,Aug,2014,Intact Male
110,A685566,,08/10/2014 7:11:00 PM,06/09/2014,Adoption,,Dog,2 months,Catahoula/Pointer,Brown Merle/White,Aug,2014,Spayed Female
111,A666111,*Jerry,10/29/2013 6:47:00 PM,07/29/2013,Adoption,,Cat,3 months,Domestic Shorthair Mix,Orange Tabby/White,Oct,2013,Neutered Male
112,A827385,Mittens,01/27/2021 8:51:00 AM,12/20/2019,Adoption,Foster,Cat,1 year,Domestic Shorthair,Blue Tabby/White,Jan,2021,Spayed Female
113,A807106,Wendell,07/23/2020 5:46:00 PM,03/20/2019,Adoption,,Dog,1 year,Standard Poodle,Silver,Jul,2020,Neutered Male
114,A785591,Luke,03/09/2019 11:49:00 AM,09/11/2017,Adoption,,Dog,1 year,Labrador Retriever Mix,Brown/White,Mar,2019,Neutered Male
115,A707921,Debo,07/21/2015 3:01:00 PM,08/14/2011,Return to Owner,,Dog,3 years,Pit Bull Mix,Red/White,Jul,2015,Intact Male
116,A718784,*Marigold,01/12/2016 11:52:00 AM,10/07/2015,Adoption,,Cat,3 months,Domestic Shorthair Mix,Brown Tabby/White,Jan,2016,Spayed Female
117,A675548,,03/29/2014 8:42:00 AM,03/01/2014,Euthanasia,Rabies Risk,Other,4 weeks,Bat,Brown/Black,Mar,2014,
118,A676323,,05/23/2014 12:24:00 PM,03/21/2014,Adoption,,Dog,2 months,Australian Cattle Dog Mix,Tricolor,May,2014,Spayed Female
119,A847273,Brandi,12/03/2021 5:36:00 PM,11/29/2017,Return to Owner,,Dog,4 years,Jack Russell Terrier Mix,Cream/Brown,Dec,2021,Intact Female
120,A808862,Big Papi,11/18/2019 12:23:00 PM,11/14/2018,Transfer,Partner,Dog,1 year,Miniature Poodle Mix,Apricot,Nov,2019,Intact Male
121,A707253,Goowa,01/29/2016 4:57:00 PM,07/10/2012,Transfer,Partner,Dog,3 years,Pit Bull Mix,Apricot/Brown,Jan,2016,Neutered Male
122,A721165,*Nelson,02/26/2016 9:13:00 PM,02/22/2015,Adoption,,Dog,1 year,Pit Bull Mix,Brown/White,Feb,2016,Neutered Male
123,A851070,*Grady,02/15/2022 3:05:00 PM,02/05/2015,Adoption,Foster,Dog,7 years,Labrador Retriever Mix,Silver,Feb,2022,Neutered Male
124,A819227,Agou,06/30/2020 6:52:00 PM,06/24/2018,Rto-Adopt,,Dog,2 years,Great Pyrenees,White,Jun,2020,Spayed Female
125,A685823,Walker,08/15/2014 5:17:00 PM,08/13/2011,Return to Owner,,Dog,3 years,Pit Bull Mix,Black/White,Aug,2014,Neutered Male
126,A805622,Sadie,12/05/2019 12:02:00 PM,03/29/2018,Adoption,,Dog,1 year,German Shepherd Mix,Black/Tan,Dec,2019,Spayed Female
127,A651995,*Sugar,07/02/2018 3:34:00 PM,10/18/2011,Adoption,Foster,Dog,6 years,Staffordshire Mix,Brown/White,Jul,2018,Spayed Female
128,A769199,Sophia,04/03/2018 4:33:00 PM,04/01/2016,Return to Owner,,Dog,2 years,Dachshund Mix,Black/Tan,Apr,2018,Intact Female
129,A824550,,10/16/2020 2:11:00 PM,09/16/2020,Transfer,Partner,Cat,4 weeks,Domestic Shorthair,Blue,Oct,2020,Intact Male
130,A696539,Jasper,02/14/2015 4:36:00 PM,11/06/2014,Adoption,,Dog,3 months,Australian Cattle Dog Mix,Tan/White,Feb,2015,Neutered Male
131,A791899,,04/05/2019 7:36:00 PM,04/02/2018,Transfer,Snr,Cat,1 year,Siamese Mix,Tortie Point,Apr,2019,Intact Female
132,A725540,*Tiny,05/02/2016 1:32:00 PM,04/08/2016,Transfer,Partner,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,May,2016,Intact Male
133,A782089,,10/10/2018 9:00:00 PM,10/10/2016,Euthanasia,Suffering,Cat,2 years,Domestic Shorthair Mix,Tan/Black,Oct,2018,Intact Female
134,A830483,,03/10/2021 12:31:00 PM,03/10/2020,Euthanasia,Suffering,Cat,1 year,Domestic Shorthair,Seal Point,Mar,2021,Intact Male
135,A839198,A839198,08/06/2021 1:07:00 PM,06/08/2021,Adoption,Foster,Dog,1 month,German Shepherd,Black/Tan,Aug,2021,Spayed Female
136,A739966,*Skippyjohn,02/10/2017 7:34:00 AM,11/09/2016,Adoption,Foster,Cat,3 months,Siamese Mix,Seal Point,Feb,2017,Neutered Male
137,A808447,Elle,12/04/2019 2:45:00 PM,05/08/2019,Adoption,,Dog,6 months,Labrador Retriever,Black,Dec,2019,Intact Female
138,A729355,*Bridget,06/24/2016 2:31:00 PM,02/11/2016,Transfer,Partner,Cat,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby,Jun,2016,Intact Female
139,A788817,*Latte,11/06/2021 11:55:00 AM,04/09/2018,Transfer,Partner,Dog,3 years,Staffordshire Mix,Fawn/White,Nov,2021,Spayed Female
140,A679609,,05/23/2014 4:24:00 PM,04/17/2014,Transfer,Partner,Dog,1 month,Pit Bull Mix,Brown/White,May,2014,Intact Female
141,A766831,Lucky,02/19/2018 12:30:00 PM,02/17/2016,Return to Owner,,Dog,2 years,Great Pyrenees Mix,White/Black,Feb,2018,Intact Male
142,A706892,Penny,02/24/2016 6:32:00 PM,07/05/2012,Adoption,,Dog,3 years,German Shepherd Mix,Tan/Black,Feb,2016,Spayed Female
143,A687681,,09/08/2014 6:53:00 PM,09/03/2014,Transfer,Partner,Cat,5 days,Domestic Shorthair Mix,Blue Tabby,Sep,2014,
144,A726716,*Montana,12/20/2016 9:59:00 AM,05/13/2015,Adoption,Foster,Dog,1 year,Pit Bull Mix,Brown Brindle/White,Dec,2016,Neutered Male
145,A692534,Lareine,11/28/2014 4:58:00 PM,11/22/2013,Adoption,,Dog,1 year,Queensland Heeler/Pointer,Blue Tick,Nov,2014,Spayed Female
146,A767252,Amy,03/04/2019 7:15:00 PM,01/26/2010,Return to Owner,,Dog,9 years,Chihuahua Shorthair Mix,Tricolor/White,Mar,2019,Spayed Female
147,A781920,Binz,10/08/2018 11:17:00 AM,10/08/2016,Return to Owner,,Dog,2 years,American Bulldog Mix,White/Gray,Oct,2018,Neutered Male
148,A764556,Cash,01/01/2018 4:43:00 PM,05/22/2011,Return to Owner,,Dog,6 years,Labrador Retriever Mix,Black,Jan,2018,Intact Male
149,A666702,*Farley,01/12/2015 2:17:00 PM,03/06/2013,Adoption,,Dog,1 year,Catahoula Mix,Brown Brindle/White,Jan,2015,Neutered Male
150,A862540,Zamazenta,08/04/2022 6:12:00 PM,03/27/2022,Rto-Adopt,,Dog,4 months,Pit Bull,Brown,Aug,2022,Neutered Male
151,A652101,Stella,01/06/2016 6:56:00 PM,04/20/2011,Return to Owner,,Dog,4 years,Pit Bull/Chow Chow,Tan/White,Jan,2016,Spayed Female
152,A727902,*Jake,06/06/2016 7:48:00 PM,05/27/2010,Adoption,,Dog,6 years,Pug Mix,Black/White,Jun,2016,Neutered Male
153,A805553,,10/01/2019 5:17:00 PM,05/28/2019,Adoption,,Dog,4 months,Beagle/Dachshund,Black/Tricolor,Oct,2019,Spayed Female
154,A810834,Amigo,01/14/2020 1:54:00 PM,12/21/2017,Transfer,Partner,Dog,2 years,Pit Bull/Australian Cattle Dog,Chocolate/Tan,Jan,2020,Neutered Male
155,A789482,Mclaren,02/26/2019 4:21:00 PM,12/18/2018,Adoption,,Dog,2 months,Boxer/Australian Cattle Dog,Brown Brindle/White,Feb,2019,Neutered Male
156,A661916,Bella,04/02/2014 5:42:00 PM,08/27/2011,Euthanasia,Aggressive,Dog,2 years,Pit Bull Mix,White/Brown,Apr,2014,Spayed Female
157,A801634,Simba,10/15/2019 6:21:00 PM,04/06/2019,Adoption,,Cat,6 months,Domestic Shorthair Mix,White/Brown Tabby,Oct,2019,Neutered Male
158,A783891,Elizabeth T,01/16/2019 11:28:00 AM,11/08/2015,Adoption,Foster,Dog,3 years,Border Terrier,Black/Tan,Jan,2019,Spayed Female
159,A771760,,05/12/2018 7:32:00 PM,05/09/2017,Transfer,Snr,Cat,1 year,Domestic Shorthair Mix,Brown Tabby,May,2018,Intact Female
160,A747746,*Hops,05/28/2017 5:44:00 PM,04/24/2016,Adoption,,Cat,1 year,Domestic Shorthair Mix,Brown Tabby/White,May,2017,Spayed Female
161,A842461,*Ruby,10/27/2021 9:50:00 AM,08/05/2021,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Tortie,Oct,2021,Spayed Female
162,A681272,Chucky,06/17/2014 1:29:00 PM,06/14/2011,Transfer,Partner,Dog,3 years,Chihuahua Shorthair Mix,Brown,Jun,2014,Neutered Male
163,A711258,Cash,11/03/2015 7:38:00 PM,09/04/2012,Adoption,,Dog,3 years,Boxer Mix,White/Brown Brindle,Nov,2015,Neutered Male
164,A697903,,03/04/2015 9:00:00 AM,11/18/2014,Transfer,SCRP,Cat,3 months,Siamese Mix,Lynx Point,Mar,2015,
165,A689065,,09/29/2014 1:08:00 PM,08/09/2014,Transfer,Partner,Dog,1 month,Flat Coat Retriever/Pit Bull,Buff,Sep,2014,Intact Female
166,A676139,*Iona,03/08/2017 7:51:00 AM,04/09/2008,Adoption,Foster,Cat,8 years,Domestic Shorthair Mix,Brown Tabby/White,Mar,2017,Spayed Female
167,A676256,Maxey,04/07/2014 6:49:00 PM,04/07/1999,Return to Owner,,Cat,15 years,Domestic Shorthair Mix,Torbie,Apr,2014,Spayed Female
168,A667657,Rye,12/01/2013 1:10:00 PM,11/20/2006,Adoption,,Dog,7 years,Mastiff Mix,Brown Brindle/White,Dec,2013,Neutered Male
169,A798215,,06/24/2019 6:06:00 PM,06/23/2017,Euthanasia,Rabies Risk,Other,2 years,Raccoon,Brown/Black,Jun,2019,
170,A878874,A878874,04/22/2023 10:44:00 AM,04/18/2022,Died,In Kennel,Bird,1 year,Parakeet,Green,Apr,2023,
171,A774385,,06/30/2018 4:45:00 PM,04/07/2018,Adoption,,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,Jun,2018,Neutered Male
